nct_id,parameter,arm,sex,como_cnt,age_std_m,base_m,age_std_s,base_s,participants
NCT01646177,sf36_mcs,0,0,2,-0.33,54.701,0.61,15.029,20
NCT01646177,sf36_mcs,0,1,0,-1.355,64.026,0.745,13.972,47
NCT01646177,sf36_mcs,0,1,1,-0.99,63.935,0.82,13.961,51
NCT01646177,sf36_mcs,0,1,2,-0.546,64.895,0.654,13.394,38
NCT01646177,sf36_mcs,1,0,0,-1.083,63.337,0.828,11.827,41
NCT01646177,sf36_mcs,1,0,1,-0.962,59.014,0.869,14.498,48
NCT01646177,sf36_mcs,1,0,2,-0.41,59.139,0.633,13.001,41
NCT01646177,sf36_mcs,1,1,0,-1.401,65.769,0.807,12.257,98
NCT01646177,sf36_mcs,1,1,1,-1.058,67.136,0.764,12.4,87
NCT01646177,sf36_mcs,1,1,2,-0.435,64.709,0.825,15.279,68
NCT01646177,sf36_pcs,0,0,0,-1.057,62.816,0.761,14.176,20
NCT01646177,sf36_pcs,0,0,1,-0.654,64.081,0.722,13.115,16
NCT01646177,sf36_pcs,0,0,2,-0.33,56.948,0.61,15.027,20
NCT01646177,sf36_pcs,0,1,0,-1.355,68.653,0.745,11.555,47
NCT01646177,sf36_pcs,0,1,1,-1.012,65.65,0.827,14.206,52
NCT01646177,sf36_pcs,0,1,2,-0.546,64.362,0.654,13.983,38
NCT01646177,sf36_pcs,1,0,0,-1.083,68.358,0.828,11.868,41
NCT01646177,sf36_pcs,1,0,1,-0.962,64.481,0.869,13.011,48
NCT01646177,sf36_pcs,1,0,2,-0.41,55.619,0.633,16.272,41
NCT01646177,sf36_pcs,1,1,0,-1.413,69.286,0.811,10.742,99
NCT01646177,sf36_pcs,1,1,1,-1.058,69.317,0.764,10.083,87
NCT01646177,sf36_pcs,1,1,2,-0.435,63.316,0.825,12.64,68
NCT01646177,eq5d_index,0,0,0,-1.057,0.745,0.761,0.237,20
NCT01646177,eq5d_index,0,0,1,-0.654,0.851,0.722,0.126,16
NCT01646177,eq5d_index,0,0,2,-0.33,0.741,0.61,0.233,20
NCT01646177,eq5d_index,0,1,0,-1.355,0.828,0.745,0.196,47
NCT01646177,eq5d_index,0,1,1,-1.012,0.81,0.827,0.213,52
NCT01646177,eq5d_index,0,1,2,-0.546,0.806,0.654,0.136,38
NCT01646177,eq5d_index,1,0,0,-1.083,0.821,0.828,0.192,41
NCT01646177,eq5d_index,1,0,1,-0.962,0.779,0.869,0.204,48
NCT01646177,eq5d_index,1,0,2,-0.41,0.729,0.633,0.192,41
NCT01646177,eq5d_index,1,1,0,-1.413,0.865,0.811,0.149,99
NCT01646177,eq5d_index,1,1,1,-1.058,0.845,0.764,0.165,87
NCT01646177,eq5d_index,1,1,2,-0.435,0.778,0.825,0.208,68
NCT00348140,eq5d_index,0,0,0,0.696,0.905,0.558,0.066,64
NCT00348140,eq5d_index,0,0,1,0.798,0.881,0.548,0.096,85
NCT00348140,eq5d_index,0,0,2,0.953,0.865,0.478,0.087,118
NCT00348140,eq5d_index,0,1,0,0.682,0.898,0.6,0.072,53
NCT00348140,eq5d_index,0,1,1,0.883,0.904,0.556,0.094,60
NCT00348140,eq5d_index,0,1,2,0.904,0.885,0.5,0.093,100
NCT00348140,eq5d_index,1,0,0,0.724,0.885,0.619,0.09,62
NCT00348140,eq5d_index,1,0,1,0.924,0.874,0.527,0.085,76
NCT00348140,eq5d_index,1,0,2,1.019,0.881,0.514,0.086,126
NCT00348140,eq5d_index,1,1,0,0.788,0.908,0.637,0.081,57
NCT00348140,eq5d_index,1,1,1,0.831,0.904,0.596,0.091,78
NCT00348140,eq5d_index,1,1,2,0.943,0.883,0.437,0.09,86
NCT00348309,eq5d_index,0,0,0,0.816,0.858,0.575,0.103,70
NCT00348309,eq5d_index,0,0,1,0.937,0.873,0.526,0.093,79
NCT00348309,eq5d_index,0,0,2,1.034,0.869,0.505,0.094,151
NCT00348309,eq5d_index,0,1,0,0.764,0.888,0.53,0.091,44
NCT00348309,eq5d_index,0,1,1,0.835,0.888,0.495,0.085,55
NCT00348309,eq5d_index,0,1,2,1.004,0.872,0.488,0.092,92
NCT00348309,eq5d_index,1,0,0,0.958,0.87,0.516,0.087,60
NCT00348309,eq5d_index,1,0,1,0.941,0.869,0.549,0.094,97
NCT00348309,eq5d_index,1,0,2,1.046,0.857,0.442,0.097,143
NCT00348309,eq5d_index,1,1,0,0.8,0.901,0.567,0.074,39
NCT00348309,eq5d_index,1,1,1,0.79,0.877,0.535,0.088,52
NCT00348309,eq5d_index,1,1,2,0.945,0.882,0.507,0.093,91
NCT00428090,eq5d_index,0,0,0,0.768,0.858,0.579,0.101,52
NCT00428090,eq5d_index,0,0,1,0.708,0.86,0.558,0.1,24
NCT00428090,eq5d_index,0,0,2,0.978,0.88,0.733,0.097,21
NCT00428090,eq5d_index,0,1,0,0.828,0.886,0.606,0.093,24
NCT00428090,eq5d_index,0,1,1,0.885,0.872,0.478,0.083,29
NCT00428090,eq5d_index,0,1,2,1.053,0.876,0.416,0.111,15
NCT00428090,eq5d_index,1,0,0,0.701,0.892,0.66,0.089,46
NCT00428090,eq5d_index,1,0,1,0.884,0.835,0.607,0.088,27
NCT00428090,eq5d_index,1,0,2,1.025,0.832,0.447,0.079,32
NCT00428090,eq5d_index,1,1,0,0.8,0.887,0.421,0.103,25
